"","Main_Location","Date","Dir","AM_PHV","PM_PHV","ADT","AAWDT","AAWET","Intersection","formatted_address","geometry.location.lat","geometry.location.lng"
"176","BROADWAY",2006-01-10,"NB",1460,1110,NA,NA,NA,"MISSISSIPPI","S Broadway & E Mississippi Ave, Denver, CO 80209, USA","39.6967253","-104.9872774"
"177","BROADWAY",2006-11-14,"SB",2055,3517,NA,NA,NA,"ALAMEDA","417 S Broadway, Denver, CO 80209, USA","39.7086592","-104.9914214"
"178","BROADWAY",2007-01-16,"S/B",847,1410,NA,NA,NA,"EVANS","E Evans Ave & Broadway, Denver, CO 80210, USA","39.6784308","-104.9875107"
"179","BROADWAY",2015-09-18,"SB",100,113,NA,1273,NA,"E 43RD AVE ","E 43rd Ave, Denver, CO 80239, USA","39.773416","-104.820152"
"180","BROADWAY",2015-09-18,"SB",100,113,NA,1273,NA," GLOBEVILLE RD","Globeville Rd, Denver, CO 80216, USA","39.7699014","-104.991088"
"181","BROADWAY BLVD",2009-09-15,"SB",2054,3107,NA,NA,NA,"ALAMEDA  AVE","S Broadway & E Alameda Ave, Denver, CO 80209, USA","39.7111482","-104.9875582"
"182","BRUCE RANDOLPH",2006-01-24,"EB&WB",315,501,NA,NA,NA,"LAFAYETTE","N Lafayette St & Bruce Randolph Ave, Denver, CO 80205, USA","39.7645178","-104.9708744"
"183","BRUCE RANDOLPH ST",2009-06-24,"WB",154,193,NA,NA,NA,"YORK ST","York St & Bruce Randolph Ave, Denver, CO 80205, USA","39.7644966","-104.9597514"
"184","BUCHTEL BLVD",2009-08-26,"WB",307,371,NA,NA,NA,"UNIVERSITY BLVD","Buchtel Blvd S & S University Blvd, Denver, CO 80210, USA","39.6828412","-104.959316"
"185","BUCHTEL BLVD",2010-05-17,"EB",333,552,NA,NA,NA,"SO FILLMORE","S Fillmore St & Buchtel Blvd S, Denver, CO 80210, USA","39.6817098","-104.9536608"
"186","BUCHTEL BLVD",2015-10-16,"SB",1150,1208,NA,11998,NA,"ARKANSAS AVE ","E Arkansas Ave & Buchtel Blvd N, Denver, CO 80210, USA","39.6915768","-104.9756707"
"187","BUCHTEL BLVD",2015-10-16,"SB",1150,1208,NA,11998,NA," LOUSIANA AVE","Buchtel Blvd S, Denver, CO, USA","39.6848421","-104.9650051"
"188","CENTRAL PARK BLVD",2009-08-12,"SB",186,294,NA,NA,NA,"MARTIN LUTHER KING BLVD","Central Park Blvd & M.L.K. Jr Blvd, Denver, CO 80238, USA","39.7598724","-104.8907831"
"189","CENTRAL PARK BLVD",2010-10-16,"NB",52,43,NA,535,NA,"35th AVE","Central Park Blvd & E 35th Ave, Denver, CO 80238, USA","39.7652657","-104.8903234"
"190","CENTRAL PARK BLVD",2010-10-16,"NB",215,247,NA,NA,NA,"MONTVIEW BLVD","E Montview Blvd & Central Park Blvd, Denver, CO 80220, USA","39.7474455","-104.8847235"
"191","CENTRAL PARK BLVD",2010-10-23,"SB",585,651,NA,NA,NA,"26TH AVE","Central Park Blvd & E 26th Ave, Denver, CO 80238, USA","39.754658","-104.8907268"
"192","CENTRAL PARK BLVD",2012-01-02,"SB",472,551,NA,5640,NA,"VERBENA ST.","Verbena St & Central Park Blvd, Denver, CO 80238, USA","39.7517699","-104.8900352"
"193","CENTRAL PARK BLVD",2013-05-03,"NB",705,743,NA,8755,NA," MLK BLVD","Central Park, 8801 M.L.K. Jr Blvd, Denver, CO 80238, USA","39.761425","-104.8840248"
"194","CENTRAL PARK BLVD",2013-05-03,"SB",513,910,NA,8750,NA," 33rd AVE","Central Park Blvd, Colorado, USA","39.7775035","-104.8829721"
"195","CENTRAL PARK BLVD",2013-06-07,"NB",696,670,NA,8823,NA,"36th AVE","Central Park Blvd & 36th Ave, Denver, CO 80238, USA","39.7673284","-104.8903168"
"196","CENTRAL ST",2011-08-20,"SB",192,413,NA,3964,NA,"17th ST ","Central St & 17th St, Denver, CO 80211, USA","39.7592577","-105.0080804"
"197","CENTRAL ST",2011-08-20,"SB",192,413,NA,3964,NA," 18th ST","999 18th St, Denver, CO 80202, USA","39.7490697","-104.9912714"
"198","CHAMBERS RD",2015-10-30,"SB",565,664,NA,8004,NA,"E 53RD AVE ","Chambers Rd & 53rd Ave, Denver, CO 80239, USA","39.790043","-104.809823"
"199","CHAMBERS RD",2015-10-30,"SB",565,664,NA,8004,NA," MAXWELL PL","Chambers Rd, Colorado, USA","39.7582054","-104.8099488"
"200","CHAMPA",2011-04-23,"WB",496,362,NA,NA,NA,"22ND ST ","Champa St & 22nd St, Denver, CO 80205, USA","39.7521423","-104.9866604"
"201","CHAMPA",2011-04-23,"WB",552,398,NA,NA,NA,"31st ST ","Champa St & 31st St, Denver, CO 80205, USA","39.7605563","-104.975805"
"202","CHAMPA",2011-04-23,"WB",496,362,NA,NA,NA," PAW","1222 E 6th Ave, Denver, CO 80218, USA","39.725451","-104.9721689"
"203","CHAMPA ST",2014-04-18,"WB",658,582,NA,6452,NA,"30th ST. ","30th St & Champa St, Denver, CO 80205, USA","39.7596118","-104.977026"
"204","CHAMPA ST",2014-04-18,"WB",714,595,NA,6825,NA,"25th ST ","25th St & Champa St, Denver, CO 80205, USA","39.7549376","-104.9830674"
"205","CHERRY CK DR SOUTH",2011-04-26,"EB",367,482,NA,NA,NA,"S. STEELE ST.","S Steele St, Denver, CO, USA","39.6865941","-104.9500481"
"206","CHERRY CREEK DR NORTH",2009-05-29,"EB",971,1332,NA,NA,NA,"PULASKI PARK WO COLO BLVD","2401 E 2nd Ave #150, Denver, CO 80206, USA","39.7195749","-104.9580094"
"207","CHERRY CREEK DR NORTH",2009-05-29,"WB",504,542,NA,NA,NA,"S DAKOTA ST","E Dakota Ave & Cherry Creek N Dr, Denver, CO 80209, USA","39.7093574","-104.9444815"
"208","CHERRY CREEK DR SOUTH",2009-04-12,"EB",244,362,NA,NA,NA,"S COLORADO BLVD","Cherry Creek S Dr & S Colorado Blvd, Glendale, CO 80246, USA","39.7061192","-104.9406657"
"209","CLAY ST",2006-05-16,"SB",70,110,NA,NA,NA,"FLORIDA AVE","W Florida Ave & S Clay St, Denver, CO 80219, USA","39.6895113","-105.0203747"
"210","COLFAX",2008-10-21,"WB",939,1599,NA,NA,NA,"LOWELL","Lowell Blvd & W Colfax Ave, Denver, CO 80204, USA","39.7403465","-105.0346126"
"211","COLFAX AVE",2010-08-10,"EB",1799,1447,NA,NA,NA,"I-25","1350 W Colfax Ave, Denver, CO 80204, USA","39.7396437","-105.0046494"
"212","COLFAX AVE OFFRAMP",2009-05-29,"EB",121,130,NA,NA,NA,"N FEDERAL BLVD  ,SO BOUND","N Federal Blvd, Denver, CO, USA","39.8230773","-105.025118"
"213","COLORADO BLVD",2006-10-10,"NB",1699,1537,NA,NA,NA,"EVANS","E Evans Ave & S Colorado Blvd, Denver, CO 80210, USA","39.6784295","-104.9408406"
"214","COLORADO BLVD",2006-11-07,"SB",1940,2373,NA,NA,NA,"COLFAX AVENUE","E Colfax Ave & Colorado Blvd, Denver, CO 80206, USA","39.7400701","-104.9407656"
"215","COLORADO BLVD",2007-10-09,"S/B",2149,2626,NA,NA,NA,"ARKANSAS","E Arkansas Ave & S Colorado Blvd, Denver, CO 80222, USA","39.6911439","-104.9407377"
"216","COLORADO BLVD",2008-03-31,"NB",2073,2579,NA,NA,NA,"CHERRY CREEK DR","Cherry Creek N Dr & S Colorado Blvd, Glendale, CO 80246, USA","39.7073738","-104.9406703"
"217","COLORADO BLVD",2008-09-23,"EB",15,14,NA,NA,NA,"ZUNI","Zuni St, Denver, CO, USA","39.7668558","-105.0158498"
"218","COLORADO BLVD",2010-04-26,"SB",2175,2209,NA,NA,NA,"SO. of 3rd AVE","E 3rd Ave & Colorado Blvd, Denver, CO 80206, USA","39.7209595","-104.9407823"
"219","COLORADO BLVD",2010-04-26,"NB",1888,2088,NA,NA,NA,"NO. of 2nd AVE","E 2nd Ave & Colorado Blvd, Denver, CO 80220, USA","39.7193945","-104.9406386"
"220","COLORADO BLVD",2010-04-26,"NB",1823,2041,NA,NA,NA,"NO  COLFAX AVE.","Colorado Blvd & Colfax Ave, Denver, CO 80206, USA","39.739769","-104.940805"
"221","COLORADO BLVD",2010-04-26,"SB",1656,1862,NA,NA,NA,"SO 17th AVE.","3400 E 17th Ave, Denver, CO 80206, USA","39.743499","-104.947363"
"222","COLORADO BLVD",2010-04-26,"NB",1767,1814,NA,NA,NA,"NO 30th AVE>","Colorado Blvd, Denver, CO, USA","39.7536332","-104.9407577"
"223","COLORADO BLVD",2010-04-26,"SB",2046,1905,NA,NA,NA,"SO MLK","M.L.K. Jr Blvd & Colorado Blvd, Denver, CO 80205, USA","39.7619422","-104.9406655"
"224","CORNELL",2006-05-16,"EB",154,115,NA,NA,NA,"YOSEMITE","E Cornell Ave & S Yosemite St, Denver, CO 80231, USA","39.661618","-104.8846297"
"225","CORNELL AVE",2009-07-08,"EB/WB",142,196,NA,NA,NA,"TAMARAC DR","E Cornell Ave & S Tamarac Dr, Denver, CO 80231, USA","39.6601179","-104.9024091"
"226","CORONA",2006-02-23,"SB",349,619,NA,NA,NA,"7TH","E 7th Ave & Corona St, Denver, CO 80218, USA","39.727276","-104.974082"
"227","CORONA ST",2014-07-11,"SB",511,680,NA,7299,NA,"E 4th AVE","Corona St & E 4th Ave, Denver, CO 80218, USA","39.7224755","-104.974065"
"228","CRYSTAL ST",2008-11-18,"NB",39,75,NA,NA,NA,"E. ELK PL.","E Elk Pl & Crystal St, Denver, CO 80239, USA","39.780146","-104.829622"
"229","CRYSTAL ST",2015-08-04,"SB",25,37,NA,404,NA," E 47TH DR","Crystal St, Denver, CO 80239, USA","39.7824653","-104.827871"
"230","DAHLIA",2008-07-30,"SB",138,159,NA,NA,NA,"LEETSDALE","S Dahlia St & Leetsdale Dr, Glendale, CO 80246, USA","39.7091208","-104.9316224"
"231","DARTMOUTH",2010-06-28,"EB",398,891,NA,NA,NA,"So. KENTON","E Dartmouth Ave & S Kenton St, Denver, CO 80014, USA","39.6602224","-104.8589897"
"232","DAYTON ST",2015-05-08,"SB",9,14,NA,96,NA,"E 35TH AVE ","Dayton St & E 35th Ave, Denver, CO 80238, USA","39.7649691","-104.8744875"
"233","DAYTON ST",2015-05-08,"SB",9,14,NA,96,NA," E 34TH PL","Dayton St, Colorado, USA","39.741972","-104.8752442"
"234","DAYTON ST",2015-07-17,"SB",135,256,NA,2547,NA,"E 3RD AVE ","1200 E 3rd Ave, Denver, CO 80218, USA","39.7198418","-104.9725412"
"235","DAYTON ST",2015-07-17,"SB",135,256,NA,2547,NA," E 5TH AVE","9649 E 5th Ave, Denver, CO 80230, USA","39.7232787","-104.876057"
"236","DETROIT",2006-06-01,"NB",147,152,NA,NA,NA,"2ND AVE","Detroit St & E 2nd Ave, Denver, CO 80206, USA","39.7194044","-104.9546237"
"237","DETROIT ST",2013-12-13,"SB",45,57,NA,465,NA,"COLFAX AVE ","Detroit St & E Colfax Ave, Denver, CO 80206, USA","39.7401841","-104.9547824"
"238","DETROIT ST",2013-12-13,"SB",45,57,NA,465,NA," 16th AVE","Detroit St, Denver, CO 80206, USA","39.7312327","-104.9540449"
"239","DEXTER ST",2015-07-10,"SB",87,107,NA,958,NA,"E 9TH AVE ","E 9th Ave & Dexter St, Denver, CO 80220, USA","39.7310547","-104.9328009"
"240","DEXTER ST",2015-07-10,"SB",87,107,NA,958,NA," E 8TH AVE","Dexter St, Denver, CO, USA","39.7401028","-104.9327138"
"241","DEXTER ST",2015-07-10,"SB",161,248,NA,1962,NA," HALE PKWY","833 Dexter St, Denver, CO 80220, USA","39.729921","-104.9331404"
"242","DOWNING ST",2006-01-19,"NB",299,561,NA,NA,NA,"33RD AVE","E 33rd Ave & N Downing St, Denver, CO 80205, USA","39.7632539","-104.9733581"
"243","DOWNING ST",2009-07-01,"NB/SB",1120,1453,NA,NA,NA,"ARIZONA ST","S Downing St & E Arizona Ave, Denver, CO 80210, USA","39.6947482","-104.9734238"
"244","DOWNING ST",2009-07-01,"NB/SB",1049,1339,NA,NA,NA,"VIRGINIA ST","S Downing St & E Virginia Ave, Denver, CO 80209, USA","39.707482","-104.9733877"
"245","DOWNING ST",2009-09-16,"NB",735,735,NA,NA,NA,"1ST AVE","E 1st Ave & N Downing St, Denver, CO 80218, USA","39.7182052","-104.9732453"
"246","DOWNING ST",2009-09-16,"NB/SB",1170,1412,NA,NA,NA,"ALAMEDA  AVE","S Downing St & E Alameda Ave, Denver, CO 80209, USA","39.7111155","-104.9734023"
"247","DOWNING ST",2009-09-16,"NB/SB",1178,1453,NA,NA,NA,"EXPOSITION AVE","S Downing St & E Exposition Ave, Denver, CO 80209, USA","39.703869","-104.9733762"
"248","DOWNING ST",2010-05-03,"NB",678,735,NA,NA,NA,"KENTUCKY AVE","S Downing St & E Kentucky Ave, Denver, CO 80209, USA","39.7002102","-104.9733871"
"249","DOWNING ST",2010-06-14,"SB",459,533,NA,NA,NA,"Between EPOSITION ","S Downing St, Colorado, USA","39.6731017","-104.9734659"
"250","DOWNING ST",2010-06-14,"SB",459,533,NA,NA,NA," OHIO","E Ohio Dr, Denver, CO 80224, USA","39.7022695","-104.9065447"
"251","DOWNING ST",2014-07-11,"NB",474,655,NA,7576,NA,"E 4th AVE","E 4th Ave & N Downing St, Denver, CO 80218, USA","39.7219563","-104.9729166"
"252","DTC BLVD",2006-11-14,"NB",833,771,NA,NA,NA,"I-225","I-225, Denver, CO, USA","39.6354298","-104.9029201"
"253","DUNKELD PL",2006-01-24,"SB",92,110,NA,NA,NA,"ASHLAND REC CENTER","2475 W Dunkeld Pl, Denver, CO 80211, USA","39.7598956","-105.0175452"
"254","E 11th AVE",2014-06-06,"EB",238,521,NA,4525,NA,"N SHERMAN ST ","E 11th Ave & Sherman St, Denver, CO 80203, USA","39.7338528","-104.9848524"
"255","E 11th AVE",2014-06-06,"EB",238,521,NA,4525,NA," N LINCOLN ST","Lincoln St & 11th Ave, Denver, CO 80203, USA","39.733401","-104.986033"
"256","E 11th AVE",2014-06-06,"WB",240,193,NA,2678,NA," N GRANT ST","E 11th Ave, Colorado, USA","39.7328505","-104.8894167"
"257","E 11th AVE",2014-08-15,"EB",179,380,NA,3478,NA,"WASHINGTON ST","E 11th Ave & N Washington St, Denver, CO 80203, USA","39.7336966","-104.9786882"
"258","E 11th AVE",2014-08-15,"WB",96,144,NA,1716,NA,"CLARKSON ST","N Clarkson St & E 11th Ave, Denver, CO 80218, USA","39.7336886","-104.9775928"
"259","E 11TH AVE",2015-06-10,"EB",252,466,NA,4564,NA,"ULSTER ST ","Ulster St & E 11th Ave, Denver, CO 80220, USA","39.7328784","-104.8943681"
"260","E 11TH AVE",2015-06-11,"EB",246,498,NA,4558,NA,"SYRACUSE CT ","Syracuse Ct & E 11th Ave, Denver, CO 80220, USA","39.7328855","-104.8977602"
"261","E 12th AVE",2014-05-08,"EB",83,178,NA,1510,NA," VINE ST","E 12th Ave, Colorado, USA","39.7351024","-104.9194585"
"262","E 14th AVE",2015-01-30,"EB",575,843,NA,9124,NA,"N GRANT ST ","E 14th Ave, Colorado, USA","39.7387064","-104.8805442"
"263","E 1st AVE",2013-06-21,"EB",131,157,NA,2293,NA,"ASH ST. ","E 1st Ave & Ash St., Denver, CO 80220, USA","39.7178125","-104.9384303"
"264","E 1st AVE",2013-06-21,"EB",93,214,NA,1718,NA,"N EUDORA ST ","E 1st Ave, Colorado, USA","39.7214541","-104.8976574"
"265","E 1st PL",2014-06-06,"EB",94,86,NA,903,NA,"N SPRUCE ST ","E 1st Pl, Denver, CO, USA","39.7198415","-104.9009514"
"266","E 1st PL",2014-06-06,"EB",94,86,NA,903,NA," N RED CROSS WAY","Red Cross Way, Denver, CO 80230, USA","39.7228888","-104.8990296"
"267","E 20TH AVE",2015-06-05,"EB",188,254,NA,2254,NA," FRANKLIN ST","757E E 20th Ave, Denver, CO 80205, USA","39.7481389","-104.9775547"
"268","E 23rd AVE",2014-07-30,"EBLT",12,30,NA,262,NA,"N CHERRY ST ","Cherry St & E 23rd Ave, Denver, CO 80207, USA","39.7510708","-104.9339478"
"269","E 23rd AVE",2014-07-30,"WBLT",14,9,NA,97,NA,"N ELM ST ","Elm St & E 23rd Ave, Denver, CO 80207, USA","39.7510649","-104.9293416"
"270","E 23RD AVE",2009-05-19,"WBRT",79,56,NA,NA,NA,"N COLORADO BLVD","E 23rd Ave & Colorado Blvd, Denver, CO 80205, USA","39.7510875","-104.9407685"
"271","E 26th Ave",2014-07-22,"EB",161,308,NA,2475,NA,"BELLAIRE ST. ","Bellaire St & E 26th Ave, Denver, CO 80207, USA","39.7546819","-104.9372271"
"272","E 26th Ave",2014-07-22,"EB",161,308,NA,2475,NA," N BIRCH ST.","E 26th Ave, Denver, CO, USA","39.7546911","-104.9322621"
"273","E 26th Ave",2014-11-21,"EB",171,440,NA,3379,NA,"N SAINT PAUL ","St Paul St & E 26th Ave, Denver, CO 80205, USA","39.7544552","-104.9512058"
"274","E 26TH AVE",2015-07-16,"EB",196,442,NA,3550,NA,"MADISON ST ","Madison St & E 26th Ave, Denver, CO 80205, USA","39.7544427","-104.9464693"
"275","E 26TH AVE",2015-07-16,"EB",171,438,NA,3341,NA,"ADAMS ST ","Adams St & E 26th Ave, Denver, CO 80205, USA","39.7544367","-104.9488313"
"276","E 28th AVE",2014-08-29,"EB",97,176,NA,1843,NA,"N ROSLYN ST","Roslyn St, Denver, CO, USA","39.7510161","-104.9010837"
"277","E 28th AVE",2015-04-17,"EB",10,15,NA,130,NA,"N Hanover ","E 28th Ave, Denver, CO 80238, USA","39.7564661","-104.8686748"
"278","E 28th AVE",2015-04-17,"EB",10,15,NA,130,NA," N Havana ST","N Havana St, Aurora, CO 80010, USA","39.7182107","-104.8659345"
"279","E 28th PL",2015-04-17,"EB",18,21,NA,162,NA,"N Hanover ","E 28th Pl, Denver, CO 80238, USA","39.7564205","-104.8807057"
"280","E 29th AVE",2015-04-17,"EB",18,11,NA,116,NA,"FULTON ST ","Fulton St & E 29th Ave, Denver, CO 80238, USA","39.7582467","-104.8705443"
"281","E 29th AVE",2015-04-17,"EB",18,11,NA,116,NA," FLORENCE ST","E 29th Ave, Denver, CO, USA","39.7583765","-104.9217031"
"282","E 31ST AVE",2007-09-05,"EB",338,850,NA,NA,NA,"JOSEPHINE","E 31st Ave & Josephine St, Denver, CO 80205, USA","39.7607449","-104.9585885"
"283","E 31ST AVE",2007-09-05,"EB",303,740,NA,NA,NA,"MARION ST","E 31st Ave & N Marion St, Denver, CO 80205, USA","39.7607781","-104.9721136"
"284","E 35TH AVE",2015-05-08,"WB",12,14,NA,111,NA," FLORENCE WAY","E 35th Ave, Denver, CO, USA","39.7656144","-104.9228733"
"285","E 40th AVE",2015-01-09,"EB",225,348,NA,2981,NA,"N FRANKLIN ST ","E 40th Ave, Denver, CO, USA","39.7729048","-104.9536198"
"286","E 40th AVE",2015-01-09,"EB",225,348,NA,2981,NA," N WILLIAMS ST","1360 N Williams St, Denver, CO 80218, USA","39.7379102","-104.9655813"
"287","E 40TH AVE",2006-06-13,"WBLT",21,26,NA,NA,NA,"N COLORADO BLVD","E 40th Ave & Colorado Blvd, Denver, CO 80207, USA","39.7728817","-104.9404292"
"288","E 40TH AVE",2015-10-30,"WB",658,718,NA,9792,NA,"AIRPORT BLVD ","40th Ave & Airport Blvd - Gateway Park Station, 3900 N Salida St, Aurora, CO 80011, USA","39.7699947","-104.7875825"
"289","E 40TH AVE",2015-10-30,"EB",537,728,NA,8602,NA,"E 40TH CIR ","16001 E 40th Cir, Aurora, CO 80011, USA","39.772202","-104.800853"
"290","E 40TH AVE",2015-10-30,"WB",658,718,NA,9792,NA," E 40TH CIR","16250 E 40th Ave, Aurora, CO 80011, USA","39.772226","-104.7981783"
"291","E 40TH AVE",2015-10-30,"EB",537,728,NA,8602,NA," LEWISTON ST","E 40th Ave, Colorado, USA","39.7727619","-104.8203757"
"292","E 40TH CIR",2015-10-30,"NB",162,140,NA,2141,NA,"E 40TH AVE ","11855 E 40th Ave, Denver, CO 80239, USA","39.773312","-104.850798"
"293","E 40TH CIR",2015-10-30,"NB",162,140,NA,2141,NA," LEWISTON ST","Lewiston St, Denver, CO 80239, USA","39.7948115","-104.7983105"
"294","E 45TH AVE",2015-07-12,"EB",12,13,NA,137,NA,"JOSEPHINE ","E 45th Ave & Josephine St, Denver, CO 80216, USA","39.77895","-104.9582469"
"295","E 45TH AVE",2015-07-12,"EB",12,13,NA,137,NA," YORK ST","12140 E 45th Ave, Denver, CO 80239, USA","39.7774678","-104.8458225"
"296","E 52nd AVE",2014-03-14,"EB",122,200,NA,1648,NA,"CARSON ST ","E 52nd Ave & Carson St, Denver, CO 80239, USA","39.7901594","-104.8239408"
"297","E 52nd AVE",2014-03-14,"EB",122,200,NA,1648,NA," CRYSTAL ST","E 52nd Ave, Denver, CO 80239, USA","39.7883634","-104.8152873"
"298","E 56th AVE",2014-05-09,"EB",548,1120,NA,8376,NA,"JOLIET ST ","Joliet St & E 56th Ave, Denver, CO 80239, USA","39.7983798","-104.8613212"
"299","E 56th AVE",2014-05-09,"EB",889,1039,NA,9677,NA," WABASH ST","E 56th Ave, Colorado, USA","39.7984309","-104.73714"
"300","E 9th AVE",2013-06-05,"EB",150,220,NA,2061,NA," GRANT ST","86 Grant St, Denver, CO 80203, USA","39.7181396","-104.9834408"
"301","E 9th AVE",2013-06-07,"EB",106,191,NA,1878,NA,"PENNSYVANIA ST ","E 9th Ave, Denver, CO, USA","39.7304916","-104.9407674"
"302","E 9th AVE",2013-06-07,"EB",106,191,NA,1878,NA," LOGAN ST","1055 Logan St, Denver, CO 80203, USA","39.733012","-104.9827363"
"303","E 9TH AVE",2015-07-10,"EB",174,126,NA,1808,NA,"CHERRY ST ","E 9th Ave & Cherry St, Denver, CO 80220, USA","39.7310665","-104.9339741"
"304","E 9TH AVE",2015-07-10,"EB",16,143,NA,576,NA," DAHLIA ST","9th Ave & Dahlia St, Denver, CO 80220, USA","39.731129","-104.931942"
"305","E ALAMEDA AVE",2006-09-18,"WB",1856,1372,NA,NA,NA,"N COLORADO BLVD","E Alameda Ave & S Colorado Blvd, Denver, CO 80209, USA","39.7114575","-104.9408256"
"306","E ALAMEDA AVE",2006-10-31,"WB",930,1220,NA,NA,NA,"S LINCOLN ST","S Lincoln St & E Alameda Ave, Denver, CO 80209, USA","39.7111485","-104.9863797"
"307","E ALAMEDA AVE",2009-06-17,"EB",862,1023,NA,NA,NA,"S MARION ST","S Marion Pkwy & E Alameda Ave, Denver, CO 80209, USA","39.7111185","-104.9724232"
"308","E ALAMEDA AVE",2014-04-04,"WBLT",142,111,NA,1583,NA,"S HOLLY ST","E Alameda Ave & S Holly St, Denver, CO 80246, USA","39.7112131","-104.9222908"
"309","E ARIZONA AVE",2015-10-30,"EB",65,52,NA,537,NA,"S ST PAUL ST ","S St Paul St & E Arizona Ave, Denver, CO 80210, USA","39.694772","-104.9512039"
"310","E ARIZONA AVE",2015-10-30,"EB",128,102,NA,970,NA,"S ADAMS ST ","S Adams St & E Arizona Ave, Denver, CO 80210, USA","39.6947686","-104.9488559"
"311","E ARIZONA AVE",2015-10-30,"EB",65,52,NA,537,NA," S STEELE ST","E Arizona Ave, Denver, CO, USA","39.6947673","-104.9476991"
"312","E ASBURY AVE",2015-08-21,"EB",72,95,NA,875,NA,"S COLUMBINE ST ","E Asbury Ave & S Columbine St, Denver, CO 80210, USA","39.6802576","-104.9565104"
"313","E ASBURY AVE",2015-08-21,"EB",70,84,NA,765,NA,"S CLAYTON ST ","S Clayton St & E Asbury Ave, Denver, CO 80210, USA","39.680254","-104.9550882"
"314","E ASBURY AVE",2015-08-21,"EB",72,95,NA,875,NA," S JOSEPHINE ST","E Asbury Ave, Colorado, USA","39.6802394","-104.9465658"
"315","E BATES AVE",2015-07-10,"EB",6,10,NA,62,NA,"S NEWPORT ST ","S Newport St & E Bates Ave, Denver, CO 80224, USA","39.6650426","-104.9103101"
"316","E BATES AVE",2015-07-10,"EB",6,10,NA,62,NA," S MONACO PKWY","E Bates Ave, Colorado, USA","39.6645305","-104.948894"
"317","E BUCHTEL BLVD",2011-06-11,"EB",454,643,NA,NA,NA,"S. CLAYTON ST.","Buchtel Blvd S & S Clayton St, Denver, CO 80210, USA","39.6819095","-104.9550991"
"318","E BUCHTEL BLVD",2011-06-11,"EB",494,590,NA,NA,NA,"S. MONROE ST.","Buchtel Blvd S & S Monroe St, Denver, CO 80222, USA","39.6804247","-104.9450277"
"319","E CEDAR AVE",2014-06-20,"EB",31,73,NA,581,NA,"S IVY ST ","E Cedar Ave & S Ivy St, Denver, CO 80224, USA","39.7131048","-104.9211088"
"320","E CEDAR AVE",2014-06-20,"EB",16,33,NA,298,NA,"S HOLLY ST ","E Cedar Ave & S Holly St, Denver, CO 80224, USA","39.7131029","-104.9222786"
"321","E CEDAR AVE",2014-06-20,"EB",31,73,NA,581,NA," S HOLLY ST","E Cedar Ave, Denver, CO, USA","39.7130824","-104.9407907"
"322","E CEDAR AVE",2015-10-30,"EB",35,72,NA,542,NA,"S LEYDEN ST ","E Cedar Ave & S Leyden St, Denver, CO 80224, USA","39.7131094","-104.9153422"
"323","E CEDAR AVE",2015-10-30,"EB",42,78,NA,602,NA,"S LOCUST ST ","E Cedar Ave & S Locust St, Denver, CO 80224, USA","39.7131178","-104.9141915"
"324","E COLORADO AVE",2015-09-04,"EB",27,37,NA,315,NA,"S MARION ST ","S Marion St & E Colorado Ave, Denver, CO 80210, USA","39.6839828","-104.9722486"
"325","E COLORADO AVE",2015-09-04,"EB",56,48,NA,606,NA,"S CORONA ST ","S Corona St & E Colorado Ave, Denver, CO 80210, USA","39.6839835","-104.9746013"
"326","E COLORADO AVE",2015-09-04,"EB",27,37,NA,315,NA," S DOWNING ST","S Downing St, Denver, CO, USA","39.6747085","-104.9734533"
"327","E DAKOTA AVE",2014-03-07,"EB",29,52,NA,351,NA,"S WILLIAMS ST ","S Williams St & E Dakota Ave, Denver, CO 80209, USA","39.7093037","-104.9663287"
"328","E DAKOTA AVE",2015-09-04,"EB",32,51,NA,414,NA,"S HIGH ST ","E Dakota Ave & S High St, Denver, CO 80209, USA","39.709305","-104.9651833"
"329","E DAKOTA AVE",2015-09-04,"EB",30,50,NA,404,NA,"S RACE ST ","E Dakota Ave & S Race St, Denver, CO 80209, USA","39.7093066","-104.9640167"
"330","E DARTMOUTH AVE",2013-06-18,"EB",230,225,NA,2193,NA,"S ADAMS ST ","S Adams St & E Dartmouth Ave, Denver, CO 80210, USA","39.6602695","-104.9483834"
"331","E DARTMOUTH AVE",2013-06-18,"EB",230,225,NA,2193,NA," S COOK ST","E Dartmouth Ave, Colorado, USA","39.6608978","-104.8858811"
"332","E DARTMOUTH AVE",2013-06-20,"EB",189,230,NA,2025,NA,"S DETROIT ST ","E Dartmouth Ave & S Detroit St, Denver, CO 80210, USA","39.6599969","-104.9532252"
"333","E ELK DR",2015-08-04,"EB",11,29,NA,272,NA," CRYSTAL ST","E Elk Dr, Denver, CO 80239, USA","39.7796569","-104.8274309"
"334","E EVANS AVE",2006-09-19,"EB",947,1473,NA,NA,NA,"S QUEBEC ST","S Quebec St & E Evans Ave, Colorado 80224, USA","39.6768306","-104.9036924"
"335","E EVANS AVE",2006-10-03,"WB",1907,1565,NA,NA,NA,"I-25","S Colorado Blvd, Denver, CO 80222, USA","39.6851851","-104.9405609"
"336","E EVANS AVE",2014-05-02,"WBLT",34,34,NA,510,NA,"S HOLLY ST","E Evans Ave & S Holly St, Denver, CO 80222, USA","39.6784645","-104.9222395"
"337","E EVANS AVE",2015-05-24,"WBLT",8,11,NA,97,NA,"FILLMORE ST","S Fillmore St & Evans Ave, Denver, CO 80210, USA","39.6783897","-104.9536703"
